rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
111,0.0001,5.29,0.1604,4,291.34,87.4,"{""ceramic_fiber"": 125.56, ""fumed_silica"": 22.89, ""graphene"": 0.97, ""gypsum"": 141.75}",111. k=0.00010 | $5.29/kg | 4 comp
112,0.0001,5.29,0.161,4,267.41,87.3,"{""ceramic_fiber"": 114.57, ""fumed_silica"": 21.47, ""graphene"": 0.9, ""gypsum"": 130.3}",112. k=0.00010 | $5.29/kg | 4 comp
113,0.0001,5.3,0.1523,4,299.74,87.8,"{""ceramic_fiber"": 136.6, ""fumed_silica"": 19.64, ""graphene"": 0.9, ""gypsum"": 142.45}",113. k=0.00010 | $5.30/kg | 4 comp
114,0.0001,5.3,0.1531,4,263.73,87.8,"{""ceramic_fiber"": 121.75, ""fumed_silica"": 15.51, ""graphene"": 0.98, ""gypsum"": 125.34}",114. k=0.00010 | $5.30/kg | 4 comp
115,0.0001,5.3,0.1536,4,279.25,87.7,"{""ceramic_fiber"": 126.26, ""fumed_silica"": 18.79, ""graphene"": 0.9, ""gypsum"": 133.14}",115. k=0.00010 | $5.30/kg | 4 comp
116,0.0001,5.3,0.1545,4,254.49,87.7,"{""ceramic_fiber"": 115.43, ""fumed_silica"": 16.46, ""graphene"": 0.91, ""gypsum"": 121.55}",116. k=0.00010 | $5.30/kg | 4 comp
117,0.0001,5.3,0.1555,4,268.03,87.6,"{""ceramic_fiber"": 120.54, ""fumed_silica"": 17.96, ""graphene"": 0.95, ""gypsum"": 128.43}",117. k=0.00010 | $5.30/kg | 4 comp
118,0.0001,5.3,0.1556,4,240.62,87.6,"{""ceramic_fiber"": 108.48, ""fumed_silica"": 15.85, ""graphene"": 0.9, ""gypsum"": 115.25}",118. k=0.00010 | $5.30/kg | 4 comp
119,0.0001,5.3,0.1556,4,256.51,87.6,"{""ceramic_fiber"": 115.62, ""fumed_silica"": 16.92, ""graphene"": 0.91, ""gypsum"": 122.91}",119. k=0.00010 | $5.30/kg | 4 comp
120,0.0001,5.3,0.156,4,278.01,87.6,"{""ceramic_fiber"": 124.59, ""fumed_silica"": 18.88, ""graphene"": 0.98, ""gypsum"": 133.42}",120. k=0.00010 | $5.30/kg | 4 comp
121,0.0001,5.3,0.1562,4,267.32,87.6,"{""ceramic_fiber"": 118.97, ""fumed_silica"": 18.87, ""graphene"": 0.92, ""gypsum"": 128.4}",121. k=0.00010 | $5.30/kg | 4 comp
122,0.0001,5.3,0.157,4,254.37,87.6,"{""ceramic_fiber"": 112.95, ""fumed_silica"": 17.93, ""graphene"": 0.92, ""gypsum"": 122.38}",122. k=0.00010 | $5.30/kg | 4 comp
123,0.0001,5.3,0.1581,4,283.97,87.5,"{""ceramic_fiber"": 124.21, ""fumed_silica"": 21.43, ""graphene"": 0.96, ""gypsum"": 137.22}",123. k=0.00010 | $5.30/kg | 4 comp
124,0.0001,5.3,0.1587,4,246.98,87.5,"{""ceramic_fiber"": 108.39, ""fumed_silica"": 18.08, ""graphene"": 0.9, ""gypsum"": 119.44}",124. k=0.00010 | $5.30/kg | 4 comp
125,0.0001,5.3,0.1592,4,264.78,87.4,"{""ceramic_fiber"": 115.36, ""fumed_silica"": 20.03, ""graphene"": 0.94, ""gypsum"": 128.29}",125. k=0.00010 | $5.30/kg | 4 comp
